[23:27:43] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[23:28:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:49] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[23:28:49] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[23:28:50] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[23:28:52] [Server thread/INFO]: Time elapsed: 51453 ms
[23:28:52] [Server thread/INFO]: Done (63.867s)! For help, type "help"
